Name,URL,State,District,Party,Terms
"Representative Boren, Dan",https://www.congress.gov/member/dan-boren/B001254,Oklahoma,2,Democratic,"House: 2005-2013"
"Representative Boswell, Leonard L.",https://www.congress.gov/member/leonard-boswell/B000652,Iowa,3,Democratic,"House: 1997-2013"
"Representative Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Louisiana,3,Republican,"House: 2005-2017"
"Senator Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,,Democratic,"Senate: 1993-2017 | House: 1983-1993"
"Representative Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Texas,8,Republican,"House: 1997-Present"
"Representative Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Pennsylvania,1,Democratic,"House: 1997-2019"
"Representative Braley, Bruce L.",https://www.congress.gov/member/bruce-braley/B001259,Iowa,1,Democratic,"House: 2007-2015"
"Representative Brooks, Mo",https://www.congress.gov/member/mo-brooks/B001274,Alabama,5,Republican,"House: 2011-Present"
"Representative Broun, Paul C.",https://www.congress.gov/member/paul-broun/B001262,Georgia,10,Republican,"House: 2007-2015"
"Representative Brown, Corrine",https://www.congress.gov/member/corrine-brown/B000911,Florida,5,Democratic,"House: 1993-2017"
"Senator Brown, Scott P.",https://www.congress.gov/member/scott-brown/B001268,Massachusetts,,Republican,"Senate: 2010-2013"
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,"Senate: 2007-Present | House: 1993-2007"
"Representative Buchanan, Vern",https://www.congress.gov/member/vern-buchanan/B001260,Florida,16,Republican,"House: 2007-Present"
"Representative Bucshon, Larry",https://www.congress.gov/member/larry-bucshon/B001275,Indiana,8,Republican,"House: 2011-Present"
"Representative Buerkle, Ann Marie",https://www.congress.gov/member/ann-buerkle/B001276,"New York",25,Republican,"House: 2011-2013"
"Representative Burgess, Michael C.",https://www.congress.gov/member/michael-burgess/B001248,Texas,26,Republican,"House: 2003-Present"
"Senator Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,"North Carolina",,Republican,"Senate: 2005-Present | House: 1995-2005"
"Representative Burton, Dan",https://www.congress.gov/member/dan-burton/B001149,Indiana,5,Republican,"House: 1983-2013"
"Representative Butterfield, G. K.",https://www.congress.gov/member/g-k-butterfield/B001251,"North Carolina",1,Democratic,"House: 2004-Present"
"Representative Calvert, Ken",https://www.congress.gov/member/ken-calvert/C000059,California,42,Republican,"House: 1993-Present"
"Representative Camp, Dave",https://www.congress.gov/member/dave-camp/C000071,Michigan,4,Republican,"House: 1991-2015"
"Representative Campbell, John",https://www.congress.gov/member/john-campbell/C001064,California,45,Republican,"House: 2005-2015"
"Representative Canseco, Francisco ""Quico""",https://www.congress.gov/member/francisco-canseco/C001082,Texas,23,Republican,"House: 2011-2013"
"Representative Cantor, Eric",https://www.congress.gov/member/eric-cantor/C001046,Virginia,7,Republican,"House: 2001-2014"
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,,Democratic,"Senate: 2001-Present | House: 1993-1995"
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,"West Virginia",,Republican,"Senate: 2015-Present | House: 2001-2015"
"Representative Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,California,24,Democratic,"House: 1997-2017"
"Representative Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Massachusetts,7,Democratic,"House: 1999-2019"
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,"Senate: 2007-Present | House: 1987-2007"
"Representative Cardoza, Dennis A.",https://www.congress.gov/member/dennis-cardoza/C001050,California,18,Democratic,"House: 2003-2012"
"Representative Carnahan, Russ",https://www.congress.gov/member/russ-carnahan/C001060,Missouri,3,Democratic,"House: 2005-2013"
"Representative Carney, John C., Jr.",https://www.congress.gov/member/john-carney/C001083,Delaware,,Democratic,"House: 2011-2017"
"Senator Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,,Democratic,"Senate: 2001-Present | House: 1983-1993"
"Representative Carson, Andre",https://www.congress.gov/member/andre-carson/C001072,Indiana,7,Democratic,"House: 2008-Present"
"Representative Carter, John R.",https://www.congress.gov/member/john-carter/C001051,Texas,31,Republican,"House: 2003-Present"
"Senator Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Pennsylvania,,Democratic,"Senate: 2007-Present"
"Senator Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Louisiana,,Republican,"Senate: 2015-Present | House: 2009-2015"
